,0
799,51
800,40
801,73
802,88
803,105
804,102
805,68
806,133
807,114
808,38
809,108
810,97
811,81
812,59
813,107
814,119
815,35
816,105
817,83
818,74
819,46
820,34
821,80
822,56
823,153
824,44
825,71
826,98
827,130
828,62
829,66
830,72
831,102
832,87
833,50
834,45
835,53
836,90
837,105
838,84
839,86
840,65
841,100
842,71
843,111
844,88
845,50
846,58
847,63
848,98
849,63
850,105
851,112
852,34
853,121
854,134
855,85
856,37
857,80
858,84
859,80
860,96
861,66
862,75
863,56
864,52
865,93
866,80
867,74
868,55
869,72
870,62
871,61
872,98
873,133
874,112
875,61
876,66
877,61
878,107
879,77
880,74
881,117
882,100
883,46
884,82
885,66
886,81
887,81
888,61
889,48
890,56
891,73
892,72
893,88
894,87
895,54
896,95
897,63
898,150
899,135
900,78
901,73
902,90
903,108
904,64
905,54
906,69
907,66
908,43
909,69
910,67
911,129
912,69
913,114
914,72
915,88
916,75
917,89
918,68
919,95
920,94
921,123
922,88
923,37
924,142
925,63
926,71
927,119
928,78
929,68
930,119
931,139
932,54
933,80
934,72
935,119
936,64
937,83
938,90
939,55
940,94
941,61
942,87
943,121
944,130
945,67
946,81
947,65
948,102
949,149
950,54
951,78
952,109
953,129
954,71
955,88
956,67
957,50
958,110
959,63
960,88
961,112
962,88
963,58
964,63
965,74
966,73
967,63
968,130
969,61
970,82
971,65
972,71
973,49
974,57
975,59
976,83
977,93
978,61
979,122
980,29
981,95
982,95
983,66
984,89
985,65
986,67
987,97
988,55
989,128
990,89
991,85
992,84
993,60
994,139
995,89
996,66
997,126
998,108
999,89
1000,53
1001,118
1002,39
1003,102
1004,104
1005,58
1006,118
1007,66
1008,56
1009,98
1010,51
1011,57
1012,56
1013,97
1014,66
1015,63
1016,67
1017,91
1018,95
1019,36
1020,83
1021,114
1022,65
1023,100
1024,82
1025,60
1026,79
1027,75
1028,93
1029,72
1030,52
1031,67
1032,45
1033,55
1034,89
1035,105
1036,74
1037,132
1038,83
1039,119
1040,69
1041,58
1042,71
1043,89
1044,129
1045,104
1046,77
1047,85
1048,37
1049,88
1050,123
1051,39
1052,83
1053,66
1054,70
1055,47
1056,83
1057,80
1058,93
1059,109
1060,178
1061,110
1062,101
1063,74
1064,97
1065,88
1066,91
1067,55
1068,105
1069,53
1070,70
1071,132
1072,23
1073,54
1074,62
1075,55
1076,112
1077,71
1078,119
1079,119
1080,68
1081,47
1082,101
1083,51
1084,103
1085,52
1086,55
1087,50
1088,54
