,0
799,1
800,7
801,13
802,12
803,46
804,38
805,7
806,3
807,41
808,17
809,3
810,40
811,40
812,33
813,28
814,10
815,10
816,7
817,5
818,11
819,2
820,21
821,26
822,39
823,15
824,25
825,6
826,6
827,42
828,23
829,14
830,16
831,43
832,13
833,3
834,9
835,35
836,29
837,17
838,12
839,29
840,25
841,43
842,8
843,15
844,5
845,5
846,25
847,23
848,20
849,28
850,32
851,6
852,32
853,39
854,30
855,29
856,4
857,37
858,1
859,18
860,61
861,21
862,29
863,9
864,17
865,11
866,8
867,39
868,1
869,13
870,12
871,34
872,14
873,42
874,53
875,8
876,21
877,13
878,22
879,16
880,24
881,10
882,1
883,24
884,25
885,11
886,9
887,9
888,37
889,26
890,11
891,9
892,36
893,20
894,21
895,10
896,21
897,15
898,1
899,48
900,57
901,16
902,12
903,60
904,29
905,8
906,7
907,28
908,12
909,20
910,9
911,9
912,20
913,36
914,26
915,8
916,8
917,20
918,17
919,12
920,14
921,23
922,33
923,36
924,18
925,17
926,29
927,8
928,14
929,44
930,12
931,34
932,42
933,19
934,9
935,18
936,44
937,74
938,16
939,18
940,38
941,33
942,15
943,26
944,18
945,9
946,14
947,31
948,23
949,32
950,5
951,48
952,19
953,59
954,15
955,25
956,38
957,15
958,5
959,19
960,35
961,22
962,59
963,49
964,1
965,6
966,35
967,5
968,22
969,16
970,51
971,12
972,1
973,5
974,20
975,14
976,10
977,4
978,26
979,25
980,14
981,13
982,33
983,3
984,10
985,16
986,15
987,15
988,62
989,17
990,7
991,23
992,12
993,5
994,12
995,12
996,47
997,17
998,5
999,28
1000,36
1001,35
1002,16
1003,45
1004,34
1005,29
1006,25
1007,16
1008,37
1009,53
1010,4
1011,13
1012,31
1013,21
1014,19
1015,8
1016,4
1017,10
1018,2
1019,27
1020,30
1021,16
1022,45
1023,17
1024,4
1025,19
1026,7
1027,10
1028,11
1029,23
1030,7
1031,14
1032,49
1033,5
1034,2
1035,38
1036,24
1037,5
1038,10
1039,26
1040,25
1041,1
1042,53
1043,9
1044,19
1045,19
1046,11
1047,7
1048,6
1049,10
1050,10
1051,28
1052,27
1053,26
1054,8
1055,26
1056,22
1057,32
1058,10
1059,2
1060,37
1061,37
1062,4
1063,22
1064,9
1065,8
1066,13
1067,42
1068,15
1069,18
1070,12
1071,17
1072,1
1073,21
1074,24
1075,33
1076,27
1077,7
1078,19
1079,34
1080,16
1081,11
1082,10
1083,23
1084,33
1085,7
1086,25
1087,8
1088,34
1089,20
1090,18
1091,20
1092,19
1093,32
1094,32
1095,27
1096,33
1097,42
1098,69
1099,43
1100,9
1101,3
1102,10
1103,6
1104,5
1105,13
1106,28
1107,14
1108,6
1109,59
1110,30
1111,26
1112,7
1113,42
1114,12
1115,20
1116,5
1117,30
1118,13
1119,39
1120,15
1121,3
1122,17
1123,20
1124,10
1125,15
1126,25
1127,4
1128,5
1129,8
1130,16
1131,48
1132,5
1133,68
1134,7
1135,8
1136,17
1137,6
1138,6
1139,9
1140,3
1141,6
1142,18
1143,7
1144,27
1145,2
1146,26
1147,10
1148,29
1149,16
1150,12
1151,4
1152,20
1153,17
1154,5
1155,19
1156,33
1157,22
1158,29
1159,5
1160,34
1161,16
1162,11
1163,7
1164,45
1165,20
1166,37
1167,13
1168,37
1169,33
1170,23
1171,46
1172,33
1173,20
1174,55
1175,10
1176,21
1177,46
1178,34
1179,17
1180,9
1181,12
1182,65
1183,8
1184,38
1185,27
1186,11
1187,20
1188,58
1189,14
1190,17
1191,18
1192,11
1193,9
1194,41
1195,16
1196,8
1197,7
1198,16
1199,27
1200,35
1201,37
1202,11
1203,45
1204,38
1205,51
1206,15
1207,39
1208,23
1209,16
1210,15
1211,12
1212,16
1213,10
1214,27
1215,57
1216,25
1217,39
1218,9
1219,38
1220,5
1221,18
1222,2
1223,2
1224,10
1225,74
1226,23
1227,33
1228,15
1229,28
1230,2
1231,27
1232,33
1233,1
1234,15
1235,6
1236,12
1237,5
1238,56
1239,20
1240,19
1241,15
1242,37
1243,28
1244,4
1245,26
1246,10
1247,27
1248,53
1249,79
1250,53
1251,22
1252,16
1253,6
1254,30
1255,22
1256,16
1257,14
1258,27
1259,22
1260,18
1261,17
1262,34
1263,29
1264,43
1265,15
1266,14
1267,27
1268,43
1269,41
1270,14
1271,57
1272,36
1273,3
1274,5
1275,89
1276,19
1277,3
1278,9
1279,66
1280,16
1281,3
1282,31
1283,37
1284,14
1285,7
1286,46
1287,19
1288,45
1289,38
1290,11
1291,9
1292,35
1293,24
1294,13
1295,35
1296,27
1297,11
1298,29
1299,16
1300,56
1301,27
1302,23
1303,7
1304,17
1305,24
1306,26
1307,35
1308,17
1309,9
1310,7
1311,27
1312,69
1313,24
1314,59
1315,16
1316,24
1317,29
1318,55
1319,9
1320,20
1321,33
1322,28
1323,18
