,0
0,89
1,50
2,37
3,91
4,113
5,39
6,21
7,71
8,27
9,99
10,53
11,169
12,41
13,74
14,212
15,61
16,10
17,71
18,35
19,63
20,131
21,39
22,59
23,141
24,7
25,12
26,43
27,55
28,22
29,8
30,8
31,168
32,63
33,139
34,141
35,123
36,134
37,33
38,60
39,21
40,82
41,67
42,55
43,124
44,64
45,84
46,72
47,45
48,37
49,28
50,38
51,31
52,115
53,18
54,88
55,73
56,33
57,5
58,35
59,7
60,96
61,55
62,37
63,69
64,76
65,171
66,47
67,52
68,65
69,53
70,28
71,29
72,59
73,42
74,72
75,212
76,40
77,35
78,293
79,69
80,118
81,48
82,16
83,50
84,42
85,51
86,404
87,64
88,56
89,86
90,54
91,89
92,79
93,82
94,46
95,120
96,228
97,23
98,37
99,74
100,140
101,68
102,139
103,198
104,79
105,13
106,55
107,138
108,38
109,44
110,182
111,222
112,117
113,34
114,19
115,129
116,67
117,105
118,125
119,170
120,63
121,167
122,42
123,81
124,84
125,39
126,45
127,132
128,29
129,260
130,67
131,3
132,57
133,81
134,176
135,7
136,57
137,35
138,4
139,48
140,111
141,31
142,309
143,33
144,9
145,14
146,16
147,82
148,122
149,65
150,89
151,41
152,82
153,68
154,21
155,178
156,22
157,293
158,19
159,33
160,163
161,10
162,47
163,157
164,95
165,252
166,90
167,77
168,54
169,196
170,6
171,127
172,66
173,112
174,26
175,39
176,110
177,67
178,114
179,55
180,119
181,62
182,79
183,80
184,14
185,83
186,61
187,65
188,35
189,46
190,51
191,50
192,385
193,68
194,29
195,93
196,300
197,69
198,70
199,42
200,35
201,7
202,13
203,13
204,73
205,53
206,31
207,134
208,17
209,179
210,92
211,183
212,192
213,99
214,29
215,94
216,97
217,41
218,41
219,21
220,61
221,27
222,24
223,64
224,183
225,193
226,43
227,81
228,75
229,70
230,176
231,26
232,54
233,31
234,33
235,37
236,37
237,122
238,57
239,48
240,116
241,130
242,19
243,113
244,37
245,64
246,26
247,79
248,172
249,42
250,106
251,24
252,39
253,15
254,118
255,145
256,65
257,70
258,133
259,55
260,158
261,64
262,102
263,152
264,23
265,15
266,106
267,261
268,93
269,51
270,38
271,67
272,9
273,54
274,108
275,60
276,250
277,56
278,135
279,24
280,36
281,13
282,62
283,71
284,72
285,71
286,55
287,51
288,45
289,43
290,170
291,224
292,254
293,24
294,208
295,112
296,113
297,46
298,43
299,70
300,70
301,136
302,283
303,27
304,52
305,76
306,27
307,183
308,52
309,107
310,54
311,39
312,225
313,48
314,30
315,14
316,140
317,36
318,153
319,40
320,28
321,132
322,25
323,26
324,82
325,77
326,27
327,212
328,45
329,23
330,69
331,18
332,102
333,22
334,17
335,74
336,96
337,80
338,28
339,14
340,43
341,43
342,92
343,69
344,6
345,28
346,40
347,50
348,25
349,29
350,85
351,126
352,141
353,51
354,11
355,199
356,41
357,14
358,8
359,101
360,16
361,52
362,142
363,147
364,71
365,96
366,126
367,13
368,88
369,68
370,125
371,222
372,93
373,146
374,55
375,113
376,84
377,107
378,125
379,37
380,48
381,31
382,77
383,98
384,49
385,105
386,11
387,57
388,243
389,44
390,77
391,179
392,102
393,243
394,95
395,81
396,96
397,16
398,90
399,147
400,23
401,219
402,20
403,51
404,36
405,35
406,70
407,86
408,27
409,54
410,22
411,51
412,84
413,284
414,23
415,14
416,140
417,27
418,39
419,6
420,18
421,82
422,35
423,66
424,6
425,43
426,29
427,29
428,78
429,116
430,71
431,184
432,71
433,56
434,7
435,49
436,42
437,1
438,72
439,133
440,130
441,198
442,50
443,212
444,45
445,103
446,104
447,180
448,8
449,60
450,32
451,59
452,15
453,52
454,112
455,189
456,17
457,120
458,83
459,68
460,23
461,42
462,101
463,47
464,284
465,134
466,96
467,19
468,127
469,27
470,143
471,39
472,39
473,7
474,47
475,6
476,69
477,90
478,108
479,50
480,41
481,44
482,2
483,94
484,63
485,53
486,96
487,92
488,190
489,8
490,258
491,34
492,122
493,41
494,55
495,78
496,66
497,20
498,96
499,148
500,95
501,29
502,108
503,46
504,161
505,143
506,3
507,81
508,83
509,40
510,17
511,45
512,114
513,100
514,16
515,68
516,19
517,60
518,122
519,19
520,42
521,9
522,193
523,225
524,17
525,9
526,37
527,74
528,48
529,219
530,51
531,41
532,24
533,54
534,142
535,70
536,69
537,49
538,131
539,153
540,40
541,38
542,55
543,59
544,86
545,25
546,10
547,61
548,128
549,115
550,98
551,36
552,84
553,48
554,110
555,72
556,110
557,73
558,104
559,53
560,52
561,76
562,9
563,78
564,127
565,60
566,59
567,88
568,167
569,57
570,15
571,91
572,118
573,147
574,33
575,197
576,56
577,46
578,15
579,68
580,76
581,100
582,127
583,63
584,322
585,6
586,101
587,44
588,49
589,179
590,40
591,28
592,62
593,131
594,79
595,14
596,14
597,36
598,41
599,76
600,94
601,25
602,109
603,58
604,11
605,14
606,84
607,70
608,120
609,30
610,83
611,22
612,64
613,27
614,28
615,63
616,111
617,214
618,16
619,89
620,30
621,147
622,134
623,81
624,8
625,149
626,38
627,382
628,41
629,131
630,63
631,24
632,73
633,41
634,66
635,136
636,153
637,57
638,199
639,159
640,68
641,28
642,129
643,26
644,55
645,22
646,62
647,92
648,105
649,132
650,178
651,32
652,152
653,105
654,29
655,166
656,92
657,50
658,129
659,303
660,92
661,27
662,77
663,124
664,53
665,105
666,72
667,86
668,87
669,56
670,112
671,141
672,41
673,113
674,94
675,14
676,133
677,105
678,68
679,76
680,82
681,22
682,67
683,66
684,175
685,111
686,45
687,59
688,42
689,5
690,10
691,46
692,70
693,43
694,4
695,28
696,33
697,210
698,31
699,44
700,6
701,33
702,61
703,98
704,83
705,60
706,25
707,137
708,65
709,60
710,129
711,118
712,121
713,56
714,47
715,66
716,176
717,66
718,14
719,38
720,46
721,66
722,73
723,72
724,262
725,34
726,16
727,35
728,103
729,188
730,53
731,39
732,90
733,52
734,399
735,41
736,179
737,92
738,53
739,86
740,67
741,20
742,25
743,89
744,39
745,50
746,58
747,65
748,75
749,88
750,68
751,62
752,18
753,187
754,86
755,35
756,130
757,244
758,77
759,49
760,11
761,53
762,20
763,65
764,97
765,89
766,93
767,50
768,73
769,102
770,29
771,82
772,20
773,99
774,73
775,18
776,195
777,74
778,81
779,203
780,36
781,34
782,11
783,10
784,104
785,154
786,86
787,96
788,37
789,32
790,25
791,129
792,25
793,64
794,74
795,66
796,30
797,29
798,138
799,56
800,55
801,110
802,44
803,177
804,68
805,13
806,23
807,35
808,116
809,25
810,221
811,44
812,12
813,80
814,177
815,77
816,230
817,67
818,214
819,45
820,154
821,43
822,86
823,60
824,19
825,185
826,121
827,51
828,75
829,36
830,31
831,55
832,61
833,164
834,106
835,218
836,62
837,104
838,101
839,220
840,196
841,68
842,272
843,70
844,142
845,40
846,68
847,134
848,142
849,145
850,56
851,40
852,71
853,49
854,168
855,13
856,44
857,84
858,51
859,103
860,81
861,22
862,85
863,55
864,41
865,155
866,36
867,96
868,23
869,295
870,18
871,65
872,176
873,116
