,0
0,21
1,76
2,91
3,80
4,68
5,90
6,92
7,42
8,76
9,52
10,105
11,144
12,15
13,17
14,60
15,56
16,73
17,97
18,116
19,99
20,40
21,63
22,48
23,64
24,125
25,41
26,31
27,47
28,23
29,159
30,44
31,86
32,90
33,19
34,79
35,37
36,101
37,38
38,29
39,209
40,68
41,87
42,101
43,119
44,30
45,136
46,75
47,88
48,192
49,26
50,128
51,76
52,45
53,106
54,85
55,188
56,141
57,49
58,10
59,95
60,104
61,55
62,49
63,129
64,171
65,121
66,29
67,88
68,78
69,5
70,38
71,138
72,72
73,34
74,90
75,211
76,96
77,114
78,151
79,110
80,48
81,96
82,77
83,76
84,112
85,36
86,68
87,87
88,174
89,39
90,65
91,67
92,178
93,283
94,124
95,48
96,70
97,117
98,72
99,108
100,87
101,130
102,65
103,71
104,93
105,63
106,48
107,100
108,93
109,86
110,59
111,25
112,55
113,51
114,53
115,80
116,120
117,84
118,164
119,151
120,68
121,63
122,50
123,13
124,27
125,49
126,165
127,105
128,38
129,30
130,108
131,61
132,25
133,70
134,67
135,74
136,72
137,50
138,168
139,111
140,27
141,135
142,77
143,159
144,116
145,61
146,92
147,45
148,56
149,60
150,83
151,212
152,94
153,181
154,76
155,52
156,127
157,33
158,161
159,78
160,225
161,133
162,117
163,206
164,192
165,16
166,62
167,54
168,233
169,113
170,102
171,54
172,19
173,28
174,18
175,187
176,22
177,96
178,20
179,56
180,59
181,82
182,45
183,51
184,64
185,116
186,78
187,71
188,45
189,76
190,54
191,106
192,87
193,30
194,124
195,93
196,160
197,95
198,104
199,45
200,28
201,48
202,97
203,33
204,72
205,95
206,123
207,58
208,51
209,46
210,69
211,83
212,118
213,141
214,170
215,45
216,35
217,205
218,121
219,43
220,95
221,116
222,63
223,133
224,103
225,21
226,89
227,75
228,39
229,54
230,127
231,148
232,12
233,67
234,72
235,101
236,27
237,90
238,83
239,19
240,117
241,53
242,58
243,49
244,24
245,47
246,113
247,70
248,37
249,89
250,92
251,88
252,82
253,142
254,31
255,66
256,44
257,73
258,83
259,131
260,108
261,81
262,111
263,51
264,38
265,24
266,115
267,83
268,61
269,32
270,118
271,124
272,99
273,37
274,125
275,161
276,90
277,39
278,96
279,56
280,34
281,68
282,31
283,14
284,99
285,270
286,84
287,106
288,215
289,190
290,83
291,63
292,38
293,161
294,188
295,186
296,22
297,106
298,85
299,138
300,47
301,166
302,47
303,30
304,97
305,51
306,163
307,81
308,45
309,45
310,124
311,38
312,49
313,115
314,41
315,196
316,84
317,40
318,59
319,36
320,33
321,26
322,118
323,64
324,193
325,112
326,49
327,33
328,70
329,23
330,97
331,26
332,143
333,66
334,87
335,110
336,28
337,89
338,43
339,113
340,59
341,55
342,145
343,44
344,78
345,65
346,28
347,59
348,73
349,118
350,69
351,37
352,70
353,102
354,63
355,71
356,83
357,50
358,25
359,28
360,179
361,58
362,34
363,85
364,34
365,58
366,60
367,93
368,76
369,110
370,38
371,82
372,173
373,179
374,106
375,32
376,112
377,68
378,116
379,38
380,79
381,93
382,87
383,38
384,108
385,43
386,72
387,200
388,80
389,19
390,103
391,50
392,46
393,66
394,123
395,72
396,162
397,32
398,39
399,51
400,25
401,76
402,86
403,28
404,48
405,100
406,125
407,77
408,101
409,166
410,45
411,68
412,193
413,97
414,103
415,29
416,73
417,19
418,50
419,89
420,125
421,143
422,71
423,25
424,201
425,48
426,49
427,71
428,33
429,88
430,53
431,46
432,209
433,48
434,75
435,61
436,90
437,123
438,136
439,107
440,69
441,133
442,90
443,152
444,119
445,56
446,115
447,73
448,49
449,83
450,55
451,87
452,27
453,97
454,82
455,122
456,64
457,74
458,86
459,51
460,47
461,226
462,21
463,105
464,154
465,48
466,51
467,68
468,70
469,93
470,100
471,88
472,33
473,80
474,83
475,99
476,62
477,69
478,71
479,72
480,58
481,113
482,49
483,72
484,71
485,101
486,28
487,97
488,47
489,60
490,115
491,75
492,100
493,121
494,57
495,100
496,104
497,32
498,52
499,125
500,57
501,94
502,13
503,62
504,54
505,35
506,35
507,42
508,56
509,116
510,25
511,63
512,72
513,194
514,128
515,67
516,79
517,35
518,40
519,66
520,171
521,61
522,77
523,95
524,35
525,35
526,87
527,103
528,118
529,53
530,34
531,26
532,100
533,89
534,134
535,40
536,36
537,92
538,244
539,144
540,42
541,146
542,61
543,32
544,69
545,30
546,116
547,79
548,129
549,155
550,43
551,12
552,26
553,91
554,39
555,45
556,168
557,66
558,64
559,150
560,41
561,100
562,102
563,88
564,47
565,184
566,66
567,143
568,122
569,97
570,58
571,108
572,64
573,64
574,65
575,83
576,63
577,97
578,16
579,68
580,62
581,104
582,65
583,93
584,87
585,77
586,54
587,59
588,134
589,19
590,98
591,87
592,89
593,67
594,68
595,36
596,62
597,40
598,75
599,84
600,33
601,205
602,95
603,53
604,57
605,54
606,69
607,29
608,16
609,111
610,79
611,71
612,117
613,146
614,83
615,60
616,102
617,43
618,112
619,63
620,59
621,139
622,69
623,79
624,115
625,80
626,66
627,127
628,42
629,121
630,87
631,178
632,156
633,59
634,35
635,187
636,66
637,132
638,45
639,155
640,36
641,34
642,130
643,53
644,75
645,145
646,156
647,77
648,95
649,28
650,39
651,69
652,109
653,69
654,128
655,49
656,114
657,100
658,68
659,27
660,74
661,54
662,84
663,65
664,117
665,93
666,53
667,131
668,66
669,39
670,74
671,174
672,41
673,90
674,90
675,89
676,69
677,80
678,16
679,105
680,88
681,76
682,32
683,106
684,157
685,78
686,109
687,58
688,117
689,88
690,69
691,101
