,0
0,129
1,78
2,159
3,24
4,133
5,96
6,7
7,49
8,93
9,21
10,14
11,12
12,81
13,20
14,21
15,34
16,2
17,28
18,37
19,143
20,15
21,68
22,32
23,84
24,27
25,123
26,312
27,4
28,150
29,7
30,181
31,89
32,100
33,45
34,16
35,1
36,26
37,2
38,55
39,500
40,92
41,73
42,27
43,49
44,3
45,45
46,89
47,89
48,20
49,61
50,274
51,78
52,60
53,141
54,80
55,31
56,10
57,77
58,57
59,11
60,107
61,28
62,79
63,181
64,58
65,59
66,179
67,83
68,8
69,118
70,89
71,118
72,11
73,315
74,2
75,23
76,76
77,32
78,145
79,2
80,6
81,1
82,85
83,1
84,0
85,111
86,59
87,78
88,152
89,68
90,63
91,43
92,106
93,43
94,18
95,268
96,21
97,37
98,48
99,28
100,47
101,78
102,12
103,130
104,64
105,150
106,210
107,86
108,40
109,1
110,109
111,37
112,249
113,104
114,30
115,149
116,6
117,62
118,50
119,3
120,4
121,17
122,236
123,19
124,31
125,23
126,37
127,277
128,106
129,103
130,12
131,6
132,15
133,28
134,27
135,19
136,127
137,234
138,41
139,105
140,92
141,174
142,65
143,50
144,116
145,6
146,4
147,4
148,7
149,63
150,77
151,19
152,15
153,34
154,19
155,648
156,215
157,19
158,50
159,54
160,62
161,108
162,250
163,12
164,38
165,85
166,199
167,35
168,67
169,5
170,33
171,39
172,17
173,33
174,78
175,45
176,192
177,170
178,78
179,1
180,22
181,33
182,165
183,41
184,2
185,15
186,0
187,13
188,89
189,39
190,226
191,86
192,97
193,9
194,57
195,279
196,54
197,33
198,50
199,19
200,210
201,11
202,57
203,62
204,50
205,7
206,47
207,177
208,58
209,29
210,329
211,66
212,65
213,344
214,111
215,36
216,37
217,109
218,13
219,35
220,22
221,340
222,62
223,18
224,108
225,70
226,114
227,186
228,4
229,1
230,19
231,29
232,197
233,0
234,39
235,143
236,36
237,68
238,0
239,29
240,3
241,74
242,72
243,33
244,25
245,15
246,65
247,167
248,14
249,298
250,65
251,161
252,51
253,175
254,159
255,81
256,65
257,85
258,66
259,250
260,215
261,14
262,3
263,64
264,11
265,69
266,11
267,136
268,61
269,55
270,5
271,90
272,29
273,42
274,40
275,25
276,179
277,10
278,58
279,276
280,430
281,4
282,53
283,57
284,36
285,14
286,8
287,164
288,16
289,69
290,45
291,33
292,19
293,17
294,67
295,17
296,4
297,11
298,19
299,132
300,106
301,96
302,290
303,182
304,45
305,31
306,39
307,136
308,3
309,4
310,10
311,73
312,66
313,65
314,37
315,166
316,34
317,30
318,2
319,47
320,70
321,141
322,23
323,22
324,75
325,147
326,25
327,17
328,9
329,54
330,8
331,204
332,65
333,111
334,167
335,148
336,288
337,24
338,173
339,126
340,54
341,151
342,52
343,10
344,26
345,9
346,64
347,40
348,31
349,12
350,90
351,15
352,126
353,57
354,9
355,122
356,5
357,82
358,50
359,98
360,55
361,41
362,125
363,58
364,70
365,144
366,29
367,97
368,15
369,21
370,147
371,184
372,80
373,66
374,144
375,77
376,32
377,42
378,6
379,43
380,242
381,19
382,36
383,359
384,69
385,11
386,22
387,52
388,30
389,42
390,2
391,32
392,1
393,46
394,58
395,260
396,284
397,238
398,201
399,112
400,1
401,2
402,211
403,18
404,198
405,8
406,217
407,60
408,93
409,46
410,17
411,133
412,12
413,2
414,113
415,138
416,388
417,24
418,63
419,90
420,2
421,19
422,10
423,16
424,99
425,133
426,206
427,9
428,53
429,243
430,152
431,93
432,0
433,10
434,31
435,46
436,130
437,55
438,13
439,71
440,3
441,98
442,84
443,185
444,108
445,2
446,28
447,107
448,61
449,63
450,148
451,278
452,1
453,14
454,182
455,47
456,77
457,16
458,53
459,35
460,36
461,88
462,95
463,60
464,14
465,56
466,40
467,158
468,34
469,83
470,49
471,31
472,50
473,147
474,117
475,236
476,141
477,30
478,591
479,22
480,177
481,220
482,192
483,22
484,205
485,13
486,106
487,63
488,9
489,84
490,148
491,87
492,45
493,30
494,27
495,30
496,15
497,265
498,83
499,46
500,60
501,20
502,2
503,70
504,161
505,4
506,104
507,4
508,46
509,207
510,283
511,72
512,7
513,9
514,93
515,56
516,215
517,87
518,133
519,261
520,20
521,41
522,128
523,141
524,8
525,145
526,56
527,92
528,124
529,83
530,9
531,35
532,137
533,57
534,29
535,111
536,250
537,6
538,22
539,294
540,26
541,459
542,40
543,7
544,31
545,112
546,153
547,24
548,38
549,1
550,18
551,277
552,31
553,101
554,149
555,136
556,172
557,0
558,29
559,113
560,11
561,118
562,48
563,217
564,53
565,43
566,277
567,87
568,38
569,247
570,108
571,2
572,128
573,118
574,220
575,26
576,59
577,5
578,187
579,66
580,52
581,24
582,167
583,33
584,76
585,150
586,239
587,127
588,96
589,42
590,248
591,11
592,49
593,14
594,13
595,33
596,145
597,175
598,20
599,67
600,129
601,65
602,12
603,473
604,29
605,8
606,5
607,53
608,207
609,278
610,29
611,34
612,13
613,51
614,57
615,6
616,172
617,64
618,45
619,44
620,25
621,37
622,33
623,20
624,76
625,49
626,199
627,4
628,26
629,230
630,285
631,169
632,78
633,39
634,2
635,3
636,217
637,35
638,448
639,34
640,198
641,19
642,44
643,40
644,21
645,204
646,11
647,61
648,62
649,34
650,43
651,77
652,180
653,34
654,69
655,29
656,43
657,113
658,31
659,180
660,3
661,147
662,109
663,34
664,59
665,76
666,92
667,32
668,16
669,60
670,187
671,48
672,54
673,50
674,46
675,41
676,78
677,94
678,98
679,93
680,31
681,28
682,5
683,12
684,31
685,109
686,37
687,77
688,1
689,115
690,199
691,118
692,15
693,4
694,88
695,26
696,79
697,116
698,93
699,159
700,7
701,0
702,22
703,18
704,41
705,3
706,31
707,73
708,106
709,29
710,24
711,29
712,40
713,3
714,180
715,36
716,92
717,1
718,113
719,41
720,53
721,90
722,127
723,72
724,34
725,129
726,56
727,57
728,98
729,99
730,93
731,146
732,47
733,94
734,54
735,159
736,24
737,100
738,1
739,34
740,34
741,85
742,2
743,238
744,140
745,38
746,54
747,96
748,194
749,86
750,13
751,6
752,13
753,58
754,168
755,118
756,76
757,99
758,26
759,121
760,119
761,438
762,98
763,269
764,133
765,22
766,5
767,78
768,12
769,27
770,11
771,15
772,72
773,73
774,168
775,6
776,93
777,264
778,22
779,27
780,14
781,45
782,36
783,10
784,65
785,53
786,167
787,236
788,195
789,2
790,54
791,432
792,140
793,147
794,64
795,62
796,15
797,111
798,50
799,124
800,13
801,6
802,110
803,155
804,22
805,28
806,23
807,14
808,273
809,207
810,40
811,84
812,39
813,58
814,91
815,14
816,96
817,1
818,91
819,60
820,70
821,26
822,37
823,21
824,85
825,41
826,8
827,131
828,250
829,41
830,23
831,62
832,265
833,41
834,34
835,145
836,2
837,254
838,66
839,24
840,76
841,116
842,29
843,26
844,94
845,142
846,182
847,35
848,51
849,29
850,75
851,129
852,64
853,86
854,162
855,119
856,34
857,267
858,8
859,54
860,3
861,92
862,43
863,110
864,11
865,42
866,147
867,127
868,37
869,141
870,127
871,35
872,197
873,23
874,241
875,33
876,42
877,37
878,2
879,120
880,68
881,60
882,101
883,3
884,6
885,59
886,127
887,191
888,60
889,227
890,118
891,21
892,237
893,24
894,50
895,152
896,93
897,98
898,25
899,95
900,82
901,98
902,34
903,52
904,75
905,231
906,67
907,108
908,49
909,75
910,27
911,112
912,415
913,75
914,123
915,8
916,161
917,47
918,176
919,46
920,138
921,269
922,6
923,6
924,121
925,29
926,60
927,107
928,15
929,118
930,78
931,11
932,26
933,20
934,406
935,80
936,27
937,29
938,247
939,4
940,114
941,3
942,123
943,20
944,167
945,193
946,34
947,53
948,128
949,69
950,16
951,113
952,61
953,81
954,11
955,30
956,89
957,81
958,27
959,29
960,125
961,98
962,14
963,71
964,61
965,27
966,13
967,92
968,12
969,7
970,28
971,38
972,27
973,63
974,61
975,2
976,172
977,75
978,40
979,187
980,7
981,93
982,6
983,49
984,22
985,38
986,177
987,0
988,21
989,26
990,13
991,12
992,277
993,43
994,15
995,26
996,6
997,1
998,72
999,48
1000,119
1001,20
1002,57
1003,171
1004,3
1005,36
1006,123
1007,120
1008,108
1009,86
1010,35
1011,22
1012,133
1013,11
1014,59
1015,14
1016,131
1017,38
1018,68
1019,54
1020,158
1021,35
1022,202
1023,0
1024,1
1025,48
1026,149
1027,119
1028,18
1029,67
1030,209
1031,15
1032,59
1033,14
1034,22
1035,44
1036,1
1037,62
1038,46
1039,53
1040,113
1041,14
1042,193
1043,25
1044,49
1045,240
1046,87
1047,10
1048,22
1049,31
1050,33
1051,1
1052,38
1053,30
1054,288
1055,29
1056,95
1057,74
1058,74
1059,28
1060,103
1061,6
1062,3
1063,110
1064,119
1065,149
1066,19
1067,89
1068,127
1069,203
