,0
0,24
1,120
2,45
3,139
4,32
5,61
6,69
7,42
8,93
9,108
10,62
11,67
12,55
13,31
14,68
15,64
16,86
17,53
18,72
19,41
20,150
21,90
22,102
23,120
24,25
25,48
26,31
27,109
28,65
29,64
30,74
31,61
32,86
33,95
34,28
35,88
36,71
37,95
38,87
39,63
40,98
41,182
42,67
43,63
44,114
45,29
46,61
47,27
48,90
49,48
50,66
51,96
52,23
53,47
54,79
55,127
56,18
57,66
58,23
59,35
60,133
61,141
62,48
63,134
64,97
65,139
66,50
67,88
68,80
69,72
70,135
71,179
72,123
73,93
74,136
75,76
76,125
77,59
78,82
79,25
80,102
81,60
82,53
83,127
84,43
85,78
86,143
87,76
88,134
89,61
90,100
91,92
92,93
93,118
94,74
95,76
96,74
97,46
98,92
99,82
100,106
101,51
102,68
103,142
104,84
105,59
106,79
107,65
108,105
109,36
110,133
111,62
112,109
113,77
114,84
115,103
116,65
117,140
118,82
119,105
120,79
121,128
122,29
123,62
124,64
125,66
126,114
127,100
128,126
129,104
130,19
131,86
132,34
133,86
134,117
135,32
136,81
137,72
138,85
139,111
140,53
141,90
142,31
143,108
144,95
145,39
146,79
147,161
148,27
149,72
150,50
151,89
152,59
153,68
154,66
155,42
156,44
157,39
158,74
159,173
160,93
161,21
162,84
163,80
164,54
165,38
166,57
167,102
168,69
169,74
170,40
171,36
172,110
173,64
174,33
175,35
176,99
177,75
178,105
179,122
180,84
181,65
182,125
183,61
184,51
185,62
186,41
187,147
188,22
189,80
190,48
191,57
192,46
193,70
194,66
195,94
196,33
197,39
198,98
199,52
200,71
201,182
202,111
203,37
204,87
205,89
206,76
207,84
208,54
209,102
210,116
211,100
212,76
213,103
214,106
215,99
216,62
217,89
218,51
219,77
220,87
221,60
222,100
223,54
224,78
225,72
226,140
227,54
228,35
229,75
230,49
231,94
232,72
233,112
234,79
235,74
236,36
237,40
238,72
239,71
240,72
241,74
242,45
243,53
244,31
245,54
246,83
247,115
248,96
249,59
250,34
251,140
252,104
253,108
254,75
255,29
256,55
257,90
258,66
259,103
260,65
261,68
262,95
263,86
264,128
265,67
266,148
267,64
268,89
269,117
270,175
271,153
272,194
273,178
274,82
275,78
276,34
277,26
278,49
279,79
280,95
281,54
282,49
283,95
284,119
285,72
286,62
287,67
288,86
289,149
290,35
291,114
292,42
293,51
294,74
295,77
296,138
297,46
298,77
299,128
300,83
301,46
302,148
303,75
304,165
305,45
306,108
307,161
308,57
309,89
310,73
311,78
312,66
313,75
314,47
315,87
316,48
317,78
318,41
319,65
320,104
321,53
322,89
323,25
324,149
325,147
326,135
327,75
328,114
329,110
330,91
331,65
332,113
333,81
334,91
335,142
336,78
337,160
338,79
339,22
340,106
341,58
342,105
343,40
344,72
345,129
346,136
347,92
348,61
349,119
350,56
351,131
352,126
353,80
354,50
355,82
356,87
357,81
358,116
359,58
360,60
361,131
362,70
363,39
364,67
365,57
366,157
367,48
368,68
369,81
370,30
371,96
372,46
373,57
374,65
375,77
376,72
377,67
378,70
379,88
380,83
381,54
382,82
383,38
384,73
385,62
386,88
387,95
388,98
389,91
390,93
391,136
392,91
393,54
394,91
395,33
396,87
397,98
398,22
399,87
400,49
401,61
402,91
403,114
404,38
405,56
406,95
407,51
408,46
409,136
410,47
411,101
412,66
413,128
414,87
415,45
416,58
417,91
418,110
419,43
420,18
421,115
422,99
423,80
424,52
425,24
426,82
427,22
428,80
429,66
430,34
431,53
432,42
433,114
434,47
435,154
436,131
437,60
438,98
439,55
440,61
441,66
442,59
443,126
444,89
445,45
446,89
447,78
448,49
449,76
450,102
451,54
452,62
453,69
454,92
455,80
456,44
457,20
458,58
459,117
460,107
461,101
462,70
463,31
464,22
465,215
466,46
467,116
468,150
469,68
470,152
471,143
472,49
473,53
474,92
475,71
476,76
477,62
478,125
479,139
480,53
481,112
482,79
483,122
484,124
485,57
486,54
487,45
488,44
489,43
490,78
491,58
492,102
493,106
494,79
495,52
496,90
497,190
498,83
499,69
500,33
501,91
502,135
503,132
504,88
505,104
506,104
507,77
508,112
509,44
510,138
511,136
512,30
513,116
514,101
515,101
516,97
517,34
518,45
519,78
520,75
521,83
522,43
523,81
524,97
525,121
526,108
527,29
528,33
529,46
530,57
531,140
532,39
533,110
534,68
535,109
536,88
537,55
538,63
539,49
540,48
541,137
542,31
543,117
544,56
545,39
546,48
547,62
548,89
549,66
550,97
551,88
552,40
553,223
554,59
555,36
556,56
557,55
558,99
559,58
560,43
561,48
562,57
563,81
564,31
565,67
566,94
567,41
568,92
569,147
570,86
571,122
572,109
573,107
574,27
575,42
576,45
577,86
578,39
579,42
580,40
581,90
582,38
583,93
584,66
585,99
586,96
587,51
588,95
589,66
590,62
591,60
592,56
593,24
594,124
595,150
596,85
597,64
598,176
599,58
600,80
601,73
602,98
603,81
604,146
605,103
606,104
607,67
608,48
609,27
610,56
611,108
612,89
613,66
614,66
615,74
616,102
617,31
618,68
619,67
620,130
621,59
622,77
623,36
624,117
625,120
626,150
627,109
628,36
629,48
630,69
631,50
632,84
633,85
634,137
635,37
636,52
637,31
638,34
639,89
640,105
641,138
642,64
643,46
644,92
645,19
646,66
647,53
648,55
649,77
650,53
651,85
652,67
653,79
654,51
655,83
656,51
657,41
658,132
659,83
660,69
661,49
662,98
663,158
664,94
665,76
666,51
667,124
668,86
669,32
670,114
671,72
672,56
673,99
674,63
675,90
676,61
677,103
678,108
679,60
680,101
681,146
682,38
683,46
684,52
685,89
686,126
687,111
688,67
689,72
690,121
691,50
692,115
693,73
694,81
695,41
696,62
697,82
698,31
699,51
700,73
701,35
702,27
703,160
704,40
705,76
706,66
707,30
708,165
709,91
710,91
711,93
712,81
713,64
714,93
715,139
716,63
717,67
718,153
719,145
720,95
