,0
0,69
1,60
2,58
3,70
4,69
5,73
6,62
7,80
8,84
9,67
10,64
11,74
12,78
13,72
14,98
15,71
16,92
17,82
18,82
19,70
20,76
21,77
22,72
23,101
24,85
25,92
26,91
27,73
28,83
29,84
30,85
31,75
32,82
33,91
34,82
35,67
36,76
37,77
38,75
39,86
40,90
41,90
42,81
43,93
44,67
45,84
46,84
47,61
48,64
49,78
50,81
51,88
52,69
53,84
54,72
55,71
56,63
57,87
58,72
59,86
60,75
61,84
62,79
63,75
64,90
65,73
66,80
67,89
68,57
69,54
70,94
71,81
72,74
73,76
74,74
75,62
76,79
77,89
78,89
79,96
80,90
81,88
82,72
83,79
84,79
85,67
86,80
87,83
88,86
89,79
90,78
91,68
92,77
93,82
94,100
95,71
96,69
97,79
98,85
99,80
100,77
101,93
102,75
103,65
104,71
105,72
106,79
107,86
108,72
109,82
110,75
111,67
112,84
113,75
114,67
115,63
116,68
117,74
118,83
119,88
120,76
121,66
122,82
123,81
124,65
125,81
126,81
127,104
128,97
129,77
130,87
131,97
132,81
133,76
134,79
135,78
136,81
137,86
138,86
139,74
140,83
141,87
142,78
143,74
144,73
145,78
146,83
147,82
148,85
149,98
150,75
151,64
152,73
153,75
154,81
155,72
156,76
157,78
158,62
159,64
160,85
161,72
162,80
163,76
164,69
165,68
166,83
167,67
168,88
169,87
170,83
171,85
172,73
173,80
174,69
175,73
176,80
177,92
178,59
179,85
180,65
181,66
182,76
183,75
184,75
185,74
186,73
187,85
188,69
189,75
190,88
191,78
192,69
193,65
194,112
195,101
196,98
197,76
198,64
199,83
200,80
201,63
202,72
203,67
204,74
205,79
206,87
207,85
208,74
209,78
210,85
211,64
212,87
213,83
214,70
215,67
216,75
217,70
218,76
219,89
220,78
221,85
222,76
223,85
224,99
225,103
226,84
227,67
228,84
229,68
230,79
231,105
232,75
233,83
234,84
235,86
236,74
237,54
238,81
239,71
240,64
241,90
242,76
243,63
244,82
245,58
246,70
247,69
248,74
249,72
250,77
251,64
252,77
253,76
254,71
255,76
256,98
257,56
258,94
259,68
260,85
261,78
262,74
263,79
264,74
265,87
266,82
267,67
268,87
269,60
270,60
271,82
272,86
273,68
274,76
275,77
276,89
277,79
278,85
279,76
280,92
281,68
282,80
283,85
284,69
285,79
286,89
287,76
288,90
289,90
290,60
291,78
292,76
293,72
294,74
295,75
296,94
297,68
298,69
299,66
300,84
301,75
302,81
303,80
304,90
305,56
306,82
307,71
308,90
309,100
310,113
311,87
312,83
313,96
314,89
315,84
316,83
317,88
318,73
319,81
320,78
321,98
322,72
323,97
324,71
325,87
326,73
327,77
328,80
329,71
330,91
331,72
332,86
333,92
334,101
335,86
336,112
337,68
338,69
339,69
340,71
341,77
342,71
343,79
344,73
345,97
346,86
347,72
348,80
349,60
350,77
351,58
352,84
353,89
354,83
355,71
356,93
357,86
358,81
359,84
360,92
361,78
362,82
363,83
364,78
365,77
366,72
367,83
368,99
369,90
370,71
371,87
372,69
373,91
374,77
375,81
376,76
377,61
378,86
379,80
380,92
381,100
382,87
383,71
384,60
385,75
386,82
387,76
388,75
389,77
390,77
391,78
392,72
393,78
394,85
395,77
396,69
397,89
398,82
399,87
400,68
401,77
402,95
403,91
404,69
405,86
406,88
407,60
408,79
409,88
410,80
411,84
412,73
413,73
414,80
415,71
416,71
417,91
418,85
419,77
420,71
421,68
422,62
423,82
424,85
425,80
426,61
427,90
428,76
429,87
430,75
431,83
432,89
433,80
434,69
435,87
436,73
437,81
438,89
439,84
440,74
441,85
442,90
443,94
444,62
445,98
446,70
447,69
448,63
449,82
450,83
451,78
452,75
453,79
454,72
455,87
456,55
457,82
458,74
459,72
460,82
461,68
462,77
463,73
464,76
465,82
466,76
467,71
468,73
469,74
470,88
471,86
472,75
473,87
474,68
475,89
476,92
477,81
478,78
479,85
480,109
481,72
482,98
483,79
484,101
485,82
486,65
487,70
488,74
489,85
490,95
491,69
492,77
493,90
494,80
495,71
496,82
497,96
498,83
499,77
500,61
501,82
502,95
503,57
504,72
505,80
506,68
507,74
508,62
509,64
510,77
511,82
512,74
513,84
514,84
515,75
516,102
517,79
518,60
519,69
520,78
521,78
522,69
523,91
524,88
525,73
526,65
527,78
528,75
529,78
530,78
531,66
532,83
533,74
534,82
535,75
536,86
537,90
538,104
539,75
540,82
541,66
542,76
543,82
544,73
545,66
546,94
547,78
548,77
549,82
550,88
551,86
552,74
553,87
554,84
555,72
556,84
557,67
558,84
559,82
560,92
561,60
562,91
563,64
564,71
565,62
566,96
567,73
568,84
569,100
570,84
571,64
572,83
573,80
574,82
575,85
576,75
577,77
578,95
579,84
580,55
581,79
582,76
583,86
584,82
585,75
586,82
587,76
588,82
589,86
590,76
591,99
592,60
593,75
594,64
595,83
596,65
597,77
598,97
599,74
600,68
601,69
602,88
603,87
604,79
605,63
606,61
607,83
608,79
609,90
610,96
611,80
612,63
613,77
614,73
615,72
616,68
617,63
618,83
619,90
620,78
621,75
622,86
623,76
624,84
625,80
626,94
627,91
628,74
629,81
630,103
631,81
632,83
633,71
634,63
635,78
636,83
637,84
638,70
639,83
640,91
641,77
642,92
643,88
644,98
645,78
646,77
647,76
648,72
649,91
650,79
651,81
652,63
653,83
654,61
655,96
656,69
657,60
658,76
659,88
660,75
661,90
662,93
663,87
664,89
665,77
666,76
667,85
668,105
669,72
670,89
671,95
672,86
673,78
674,97
675,99
676,51
677,82
678,86
679,91
680,83
681,90
682,109
683,70
684,91
685,61
686,70
687,87
688,69
689,78
690,73
691,98
692,68
693,92
694,91
695,95
696,86
697,73
698,90
699,73
700,81
701,72
702,84
703,76
704,72
705,77
706,86
707,64
708,81
709,77
710,89
711,71
712,83
713,67
714,69
715,78
716,78
717,66
718,85
719,66
720,86
721,74
722,73
723,68
724,87
725,79
726,75
727,78
728,100
729,74
730,83
731,86
732,75
733,96
734,92
735,72
736,86
737,99
738,80
739,83
740,84
741,76
742,87
743,77
744,78
745,68
746,74
747,78
748,85
749,74
750,83
751,83
752,74
753,84
754,77
755,61
756,81
757,96
758,81
759,78
760,89
761,67
762,73
763,66
764,65
765,79
766,96
767,65
768,78
769,91
770,82
771,90
772,87
773,88
774,81
775,75
776,87
777,82
778,85
779,72
780,65
781,86
782,75
783,83
784,88
785,88
786,58
787,93
788,77
789,70
790,110
791,79
792,75
793,70
794,85
795,74
796,79
797,77
798,66
799,76
800,90
801,68
802,87
803,94
804,66
805,89
806,75
807,93
808,47
809,72
810,95
811,75
812,85
813,90
814,70
815,77
816,92
817,69
818,76
819,81
820,77
821,88
822,82
823,68
824,90
825,87
826,91
827,67
828,87
829,75
830,65
831,73
832,78
833,68
834,86
835,85
836,88
837,87
838,79
839,100
840,78
841,73
842,99
843,64
844,66
845,65
846,84
847,78
848,88
849,109
850,75
851,72
852,78
853,84
854,83
855,71
856,99
857,65
858,99
859,55
860,69
861,91
862,75
863,77
864,73
865,55
866,75
867,68
868,85
869,74
870,84
871,74
872,89
873,80
874,82
875,79
876,82
877,91
878,66
879,85
880,86
881,76
882,80
883,88
884,67
885,76
886,104
887,84
888,74
889,84
890,75
891,73
892,67
893,80
894,83
895,71
896,97
897,81
898,88
899,87
900,75
901,72
902,68
903,73
904,92
905,65
906,76
907,76
908,75
909,103
910,81
911,86
912,91
913,75
914,80
915,83
916,81
917,70
918,70
919,91
920,78
921,69
922,68
923,91
924,76
925,77
926,88
927,99
928,67
929,79
930,64
931,85
932,80
933,76
934,86
935,98
936,90
937,81
938,74
939,81
940,88
941,73
942,72
943,89
944,103
945,75
946,74
947,99
948,70
949,74
950,111
951,72
952,60
953,84
954,86
955,73
956,101
957,96
958,74
959,99
960,61
961,67
962,95
963,71
964,60
965,86
966,78
967,95
968,82
969,76
970,74
971,70
972,81
973,65
974,65
975,83
976,79
977,84
978,63
979,80
980,95
981,72
982,103
983,85
984,62
985,82
986,86
987,102
988,74
989,72
990,77
991,95
992,83
993,95
994,73
995,73
996,79
997,95
998,70
999,78
1000,67
1001,74
1002,61
1003,94
1004,87
1005,86
1006,69
1007,77
1008,68
1009,70
1010,77
1011,91
1012,73
1013,85
1014,81
1015,88
1016,70
1017,72
1018,83
1019,68
1020,111
1021,81
1022,83
1023,89
1024,57
1025,73
1026,78
1027,59
1028,89
1029,75
1030,68
1031,64
1032,88
1033,73
1034,68
1035,68
1036,62
1037,76
1038,88
1039,90
1040,95
1041,93
1042,77
1043,79
1044,78
1045,92
1046,61
1047,83
1048,71
1049,95
1050,80
1051,64
1052,82
1053,77
1054,67
1055,84
1056,82
1057,72
1058,75
1059,64
1060,91
1061,74
1062,89
1063,78
1064,82
1065,100
1066,93
1067,83
1068,67
1069,79
1070,83
1071,80
1072,93
1073,64
1074,71
1075,96
1076,77
1077,82
1078,72
1079,84
1080,83
1081,68
1082,86
1083,87
1084,78
1085,71
1086,101
1087,71
1088,75
1089,76
1090,93
1091,71
1092,93
1093,78
1094,67
1095,71
1096,90
1097,78
1098,78
1099,68
1100,76
1101,65
1102,72
1103,91
1104,79
1105,81
1106,72
1107,75
1108,87
1109,87
1110,50
1111,88
1112,92
1113,83
1114,107
1115,78
1116,65
1117,86
1118,85
1119,85
1120,77
1121,74
1122,84
1123,87
1124,101
1125,80
1126,83
1127,77
1128,84
1129,85
1130,71
1131,81
1132,86
1133,66
1134,73
1135,88
1136,70
1137,70
1138,89
1139,84
1140,78
1141,70
1142,95
1143,89
1144,99
1145,110
1146,75
1147,91
1148,65
1149,67
1150,70
1151,54
1152,82
1153,62
1154,94
1155,75
1156,82
1157,81
1158,72
1159,74
1160,65
1161,106
1162,86
1163,80
1164,78
1165,66
1166,62
1167,83
1168,89
1169,91
1170,103
1171,85
1172,89
1173,70
1174,124
1175,73
1176,78
1177,82
1178,98
1179,71
1180,78
1181,86
1182,86
1183,80
1184,84
1185,80
1186,94
1187,99
1188,98
1189,64
1190,95
1191,86
1192,73
1193,92
1194,60
1195,80
1196,89
1197,62
1198,82
1199,85
1200,74
1201,91
1202,79
1203,101
1204,81
1205,90
1206,91
1207,91
1208,69
1209,77
1210,66
1211,78
1212,74
1213,80
1214,77
1215,76
1216,81
1217,89
1218,75
1219,103
1220,104
1221,88
1222,93
1223,55
1224,67
1225,72
1226,87
1227,71
1228,94
1229,63
1230,82
1231,74
1232,81
1233,88
1234,81
1235,78
1236,79
1237,76
1238,81
1239,65
1240,79
1241,100
1242,96
1243,74
1244,85
1245,74
1246,63
1247,94
1248,64
1249,95
1250,76
1251,79
1252,90
1253,78
1254,74
1255,69
1256,69
1257,85
1258,77
1259,72
1260,79
1261,93
1262,84
1263,101
1264,77
1265,69
1266,60
1267,81
1268,86
1269,76
1270,80
1271,95
1272,58
1273,89
1274,83
1275,85
1276,77
1277,83
1278,77
1279,83
1280,54
1281,79
1282,81
1283,90
1284,75
1285,83
1286,72
1287,94
1288,67
1289,82
1290,96
1291,96
1292,66
1293,83
1294,68
1295,80
1296,80
1297,82
1298,86
1299,71
1300,119
1301,90
1302,79
1303,78
1304,75
1305,64
1306,67
1307,86
1308,96
1309,85
1310,92
1311,77
1312,83
1313,65
1314,74
1315,67
1316,95
1317,74
1318,84
1319,79
1320,81
1321,80
1322,89
1323,82
1324,71
1325,59
1326,84
1327,77
1328,79
1329,78
1330,91
1331,65
1332,74
1333,88
1334,86
1335,83
1336,73
1337,85
1338,87
1339,92
1340,85
1341,66
1342,95
1343,80
1344,74
1345,83
1346,77
1347,76
1348,76
1349,84
1350,72
1351,74
1352,79
1353,81
1354,75
1355,72
1356,77
1357,98
1358,73
1359,93
1360,97
1361,68
1362,68
1363,87
1364,66
1365,74
1366,88
1367,83
1368,74
1369,70
1370,73
1371,80
1372,81
1373,88
1374,81
1375,77
1376,88
1377,69
1378,81
1379,75
1380,98
1381,74
1382,73
1383,82
1384,78
1385,74
1386,75
1387,84
1388,85
1389,83
1390,103
1391,80
1392,72
1393,87
1394,79
1395,84
1396,85
1397,65
1398,85
1399,114
1400,73
1401,78
1402,80
1403,78
1404,83
1405,78
1406,74
1407,85
1408,69
1409,66
1410,64
1411,72
1412,99
1413,74
1414,69
1415,89
1416,80
1417,66
1418,70
1419,70
1420,96
1421,78
1422,94
1423,64
1424,81
1425,90
1426,79
1427,83
1428,95
1429,80
1430,80
1431,102
1432,101
1433,97
1434,85
1435,92
1436,83
1437,78
1438,78
1439,73
1440,64
1441,71
1442,81
1443,76
1444,79
1445,85
1446,70
1447,86
1448,87
1449,64
1450,78
1451,78
1452,88
1453,73
1454,84
1455,103
1456,77
1457,92
1458,83
1459,86
1460,68
1461,106
1462,83
1463,81
1464,93
1465,83
1466,79
1467,71
1468,83
1469,88
1470,56
1471,90
1472,72
1473,80
1474,78
1475,85
1476,78
1477,83
1478,74
1479,68
1480,74
1481,81
1482,90
1483,62
1484,62
1485,73
1486,72
1487,68
1488,79
1489,74
1490,70
1491,82
1492,119
1493,90
1494,57
1495,84
1496,96
1497,59
1498,87
1499,95
1500,83
1501,90
1502,79
1503,78
1504,87
1505,77
1506,69
1507,86
1508,72
1509,76
1510,74
